Symptom,Frequency
itchy blistering rash entire body,1
faint vaccination,1
patient feeling symptoms,1
new fainting,1
known adverse events,1
hit head base end cap bleeding within hairline,1
worsening left lower extremity pain,1
acute deep vein thrombosis,1
typical episode syncope,1
feeling light headed,1
headaches severe,1
pounding headaches,1
dizziness issues,1
hydroxyzine anxiety,1
forgetful confused,1
routine syncope work,1
numbness feet calves,1
dermatologist scalp pain,1
face numbness,1
rythem symptoms,1
vaginal area,1
belly button upper back,1
itch small lipomas internally itch,1
lad heart attack 1 artery occluded,1
difficult eat/swallow,1
lower left leg spreading knee,1
osteoarthritis fingers,1
bright red ache,1
huge nodes,1
side knuckles,1
nodes,1
bones twisting mutating,1
fluid-filled cysts,1
several nodes,1
bell 's palsy ) left side face,1
alleviating symptoms,1
affected side face,1
closing throat,1
paleness,1
small rash ( dime sized ),1
severely swollen lymph nodes,1
grapefruit size swelling right armpit,1
really tender painful,1
continuing pain loss range motion function vaccinated arm,1
first shot arm pain,1
feverish aches,1
ovary pain,1
recurring numbness/tingling face hands,1
menstrual cycle problems,1
sudden onset chest pain,1
mild fatigue dizziness,1
retrosternal worse taking deep breath,1
myopericarditis,1
left arm painful,1
left side neck sore,1
neck painful,1
large swollen lymph node left collarbone,1
point exhausted,1
lot body pain,1
hitting head,1
left sore spot head hit,1
cellulitis injection site,1
continuing pain,1
numbness burning injection site,1
small pink bumps,1
minor sore throat,1
difficulty breathing rapid heart beat,1
multiple heart events,1
rapid heartbeats,1
atrial fibrilation,1
atrial tachycardia heart flutter,1
itchy erythematous rash,1
exhausting fatigue,1
sever body aches otc,1
muscle spasms pain,1
racing severe shortness breath,1
large inflammation lymph nodes armpits,1
swelling throughout body lymph nodes,1
mild soreness injection site tiredness,1
initial soreness injection site,1
ringing ears dizziness,1
random blurriness vision,1
loose watery stools,1
watery eyes,1
swollen eyelids,1
vision blurred ( non-serious ),1
blood iron,1
flushing nausea,1
biopsy cloudy area,1
little low/hemoglobin low,1
flushing body temperature increased outcome,1
pruritus haemoglobin,1
something cloudy,1
relevant adverse event,1
clinical vaccination failure covid-19 infection,1
head pillow,1
bad headache extreme fatigue,1
headache tiredness,1
outcome sweating,1
symptom upper respiratory,1
breasts sore,1
little sore ( left arm muscle soreness injection site,1
unusual side effect,1
sore like pms,1
premenstrual syndrome symptom,1
breasts sore tender,1
breasts sore left arm muscle soreness injection site,1
outcome lethargy,1
outcome upper left eyelid,1
cxr pulm edema,1
bilat effusions,1
cold sore ( hsv-1 recurrence ) left side corner upper lip,1
erythematous pa pulse vesicles,1
associated burning,1
numbness tingling site rash/outbreak,1
stomach shaking,1
breath dizzy,1
son sore throat,1
large swollen lymph node left arm,1
bothersome little painful scale,1
myalagis,1
nausea/vomiting,1
linear opacities r/l lung bases,1
congenital adrenal hyperplasia,1
itchy head/forehead itchy/her forehead,1
itchy head ``,1
rash neck arm opposite injection site,1
itchy terrible rash,1
break rash,1
initial reaction rash,1
chest tightening,1
"massive , massive headaches",1
chest feels,1
something pushing chest,1
tylenol fever headache,1
first dose body pain arm,1
body pain arm ``,1
fever 3 days headache,1
pop ears,1
congestion sore throat pop ears,1
still fatigue congestion cough wheezing chest,1
type 2 diabetes ``,1
cluster pink color blister,1
`` pain neck ``,1
"joint pain shoulders , wrist , fingers , elbows , knees , hips , ankles , toes ``",1
potential side effect,1
severe joint pain throughout body,1
left arm hard spot,1
skin induration,1
feeling hot ( non-serious ) onset,1
really sore,1
queasy,1
soreness neck,1
farting,1
victoza taken diabetes mellitus,1
rid diarrhea,1
tonsils,1
soreness neck sore throat,1
lot body aches,1
still body aches,1
sweating primarily neck,1
point vomiting,1
stomach war,1
mom stage iv lung cancer,1
hypercholesterolaemia,1
oesophageal disorder,1
weight increased ( non-serious ) onset,1
coughing coughing ``,1
something allergies,1
4 different medications cough,1
high temperatures,1
hypokinesia ( non-serious ),1
ore joint aches,1
joint aches elbows,1
brain fog/mental fog,1
severe mental fog,1
disorientation anxiety,1
adverse vaccination,1
rashes body,1
rashes coming itch lot,1
cold inside,1
neck pain arm pain,1
circulation leg,1
"red , painful",1
test gout,1
test infection diabetes,1
swollen glands lymph nodes,1
kind like pain,1
blood pressure high,1
hot weak,1
headache bend sleep,1
headache bend sleep flat,1
hot weak heavy pressure center chest tingling,1
cool ac symptoms,1
respiratory coughing congestion,1
slight rash torso area,1
"butt crack , sides pubis course legs/ itch itch itch",1
legs ( ankle calf ),1
mosquito bites,1
going mad itch body,1
"back , ear , lip , butt crack , sides pubis course legs",1
chest tightness hurts middle,1
still chest tightness,1
oesophageal spasm,1
patient shingles,1
shingles shot painful,1
still acid reflux,1
patient still pain,1
acid reflux time upper gi,1
fibromyalgia chronic fatigue 's,1
aching muscle,1
fibromyalgia chronic fatigue,1
fatigue dragging aching aching muscle,1
patient heart issues,1
inners legs swells,1
little bumps,1
skin disorder ( non-serious ),1
rash bumps arm ``,1
uncomfortable feeling,1
blood vessels breaking,1
telangiectasia,1
blood vessels breaking ``,1
autism ``,1
knee arthritis,1
feeling cold ( non-serious ) onset,1
mild wheezing ``,1
tired arm soreness,1
little chest tightness like breath,1
cough ( non-serious ) onset jul2021,1
tylenol bruising,1
bleeding injection site left arm,1
sore got bruise,1
kind lump,1
bleeding site,1
bruising injection,1
lot bleeding,1
little lightheaded right shot,1
pseudocholinesterase deficiency,1
just dull pain either side hips,1
just dull pain,1
one side effects,1
pain hips,1
dull pain either side hips,1
systemic side effects,1
s.o.b,1
left deltoid muscle,1
high fevers,1
lots aches,1
vaccine fevers,1
three congestion sinus pressure,1
congested fevers,1
extremely hyper,1
face fire,1
teeth cold & hurting like nerves,1
agitation ( non-serious ) onset,1
nasal congestion ( non-serious ) onset,1
teething ( non-serious ) onset,1
teething,1
anemic ``,1
patient 's feet swelled,1
anemic one life,1
left arm swelled,1
strange smell,1
strange taste,1
coeliac disease ``,1
allergy eggs,1
hives breakout,1
born heart problem,1
prolapse valve ``,1
born asthma,1
thyroid problem,1
moderna flu like symptoms,1
mild case vertigo,1
different dose events,1
kidney continued throbbing,1
circulation hands.my hands swollen,1
severe arthritis,1
insomnia ( non-serious ),1
everything swollen,1
inability concentrate,1
persistent afib ``,1
unstable feet,1
swelling area left right supraclavicular nodes,1
size swelling,1
supraclavicular lymphoma,1
swelling supraclavicular area,1
hard lump,1
duration swelling,1
wisdom teeth,1
genetic/chromosomal abnormality,1
endocrine abnormality,1
alcoholic fatty liver disease,1
alcoholic fatty liver disease ),1
pressure sore,1
small l buttox stage,1
abnormal glucose nec,1
rhinitis,1
cervical dysplasia,1
disc dz,1
stress incontinence,1
dyspareunia,1
vaginitis,1
persistent hoarseness,1
persistent hoarseness cough,1
disorder,1
lipoid metabolism nos,1
meralgia paresthetica left side,1
otitis externa,1
elevated lft,1
reaction itching,1
blisters lingered left red spots,1
head hurting,1
contamination tip needle,1
elevated tsh,1
like ice cold body,1
outcome fever,1
myalgia contamination tip needle,1
meaning like ice cold body,1
cold feet chills,1
exhausted head hurting,1
headaches aching,1
broken problems,1
"abnormal , covid-19 test",1
mobility decreased ( non-serious ) onset mar2021,1
extremely inflamed,1
symptoms left arm ``,1
extreme pain shoulder arm right side ``,1
excruciating debilitating pain,1
1st vaccine pain shoulder,1
painful painful shoulder,1
anti-inflammatories pain,1
type adverse reaction,1
second dose bleeding,1
vaccination site pai,1
acid reflux sore arm,1
acid reflux pain arm,1
outcome event pain,1
gastro esophageal reflux disease,1
exposure sars-cov-2,1
fatigue/,1
classic symptoms body aches,1
super fatigue,1
second shot chest pain,1
body ache stuff,1
alpha-gal allergy,1
amount bleeding cycles,1
heavy menstruation,1
eye pruritus ( non-serious ),1
overdose,1
vein discolouration ( non-serious ),1
irregular ``,1
fatigued sick,1
hard walk,1
soreness still hips legs,1
hips legs,1
uncomfortable walk,1
pain sticking,1
menstrual cycle back,1
relief menopause,1
normal menstrual cycle long bleeding,1
baseball size swelling,1
wake pain,1
swelling knees,1
swelling knees/joint swelling,1
one blood clot,1
severe rash injection site,1
dress syndrome,1
serum sickness,1
mean duration pain injection site,1
local reactions,1
reactogenicity subset safety population redness,1
immune system disorders,1
hypersensitivity reactions,1
severe rash serious severe adverse events,1
sinus pressure pressure,1
head extreme dizziness,1
cluster like migraine headaches,1
migraine headaches,1
knot arm,1
nodule ( non-serious ) onset,1
treatment adverse events,1
bronchitis chronic ( non-serious ) onset,1
bronchitis chronic,1
blood thinner,1
pushed needle bones,1
"numbness face whole arm besides arm , `` nose cheek like forehead area",1
nose cheek like forehead area,1
little sharp thing chest,1
right swelling like feeling numbness left side face,1
hurt left ear,1
intranasal hypoaesthesia ( non-serious ),1
oral discomfort ( non-serious ),1
nasal discomfort ( non-serious ),1
pulmonary pain ( non-serious ),1
oropharyngeal pain ( non-serious ) onset sep2021,1
hypoaesthesia eye ( non-serious ),1
swelling face ( non-serious ),1
intranasal hypoaesthesia,1
oral discomfort,1
hypoaesthesia eye,1
right itching pain chest area,1
numbness burning,1
still upper slightly hurt left ear,1
slight pain side ribs front,1
slight pressure side lungs back,1
numbness side face,1
inflammation ``,1
benign prostatic hyperplasia,1
chills.i mild fatigue,1
"bilateral l > r , w/enlarged r tonsilar , submental lymph",1
rocky mountain spotted fever,1
"w/enlarged r tonsilar , submental lymph ``",1
diffuse headache photo phobia,1
w/enlarged,1
dysphagia ``,1
treatment adverse event,1
menstrual disorder ``,1
menstrual cycle prolonged ``,1
little pressured,1
little tired arm sore,1
sap increased,1
elevated esr,1
purple discoloration entire digit 4 right foot,1
fever high 103,1
left femur fx hemiarthroplasty,1
fever high 103 ``,1
purple discoloration entire digit,1
red blood cell sedimentation rate increased,1
sap increased ``,1
fever high,1
body reacting vaccine,1
vaccination site vesicles,1
blister like lesion site injection,1
slight pressure front head lightheaded spells,1
fast heart beat lightheaded spells,1
pmhx-htn,1
leukemia malignant neoplasm glottis,1
lower back pain fall,1
lump right breast,1
abnormal findings,1
low back pain allodynia area,1
burning feeling rash,1
continued back pain,1
hashimoto 's disease,1
vibratory sense,1
zero outbreaks,1
extremities burning,1
ringing ears ( constant ),1
events extremities burning,1
"ringing ears ( constant ) , phantom smells",1
inactive sarcoidosis,1
pica,1
eyes also itchy,1
non-serious adverse drug reactions,1
serious adverse reactions,1
folic acid,1
quinine malaria,1
chloroquine malaria,1
visual impairment ( disability ),1
scleral disorder ( disability,1
pica ( non-serious ),1
dilated blood vessels eyes ``,1
scleral disorder,1
potassium sorbate pains,1
